period,dong_code,district,dong,category,store_count
2024-03-01,30110620,동구,가양1동,음식점업,213
2024-03-01,30110620,동구,가양1동,"전문, 과학 및 기술 서비스업",44
2024-03-01,30110630,동구,가양2동,교육 서비스업,25
2024-03-01,30110630,동구,가양2동,보건의료업,4
2024-03-01,30110630,동구,가양2동,부동산업,29
2024-03-01,30110630,동구,가양2동,"사업시설 관리, 사업 지원 및 임대 서비스업",25
2024-03-01,30110630,동구,가양2동,소매업,224
2024-03-01,30110630,동구,가양2동,수리 및 개인 서비스업,152
2024-03-01,30110630,동구,가양2동,숙박업,5
2024-03-01,30110630,동구,가양2동,"예술, 스포츠 및 여가관련 서비스업",36
2024-03-01,30110630,동구,가양2동,음식점업,282
2024-03-01,30110630,동구,가양2동,"전문, 과학 및 기술 서비스업",44
2024-03-01,30110640,동구,용전동,교육 서비스업,19
2024-03-01,30110640,동구,용전동,보건의료업,13
2024-03-01,30110640,동구,용전동,부동산업,56
2024-03-01,30110640,동구,용전동,"사업시설 관리, 사업 지원 및 임대 서비스업",43
2024-03-01,30110640,동구,용전동,소매업,338
2024-03-01,30110640,동구,용전동,수리 및 개인 서비스업,179
2024-03-01,30110640,동구,용전동,숙박업,72
2024-03-01,30110640,동구,용전동,"예술, 스포츠 및 여가관련 서비스업",54
2024-03-01,30110640,동구,용전동,음식점업,365
2024-03-01,30110640,동구,용전동,"전문, 과학 및 기술 서비스업",80
2024-03-01,30110665,동구,성남동,교육 서비스업,14
2024-03-01,30110665,동구,성남동,보건의료업,6
2024-03-01,30110665,동구,성남동,부동산업,13
2024-03-01,30110665,동구,성남동,"사업시설 관리, 사업 지원 및 임대 서비스업",18
2024-03-01,30110665,동구,성남동,소매업,128
2024-03-01,30110665,동구,성남동,수리 및 개인 서비스업,71
2024-03-01,30110665,동구,성남동,숙박업,3
2024-03-01,30110665,동구,성남동,"예술, 스포츠 및 여가관련 서비스업",25
2024-03-01,30110665,동구,성남동,음식점업,154
2024-03-01,30110665,동구,성남동,"전문, 과학 및 기술 서비스업",25
2024-03-01,30110670,동구,홍도동,교육 서비스업,10
2024-03-01,30110670,동구,홍도동,보건의료업,3
2024-03-01,30110670,동구,홍도동,부동산업,19
2024-03-01,30110670,동구,홍도동,"사업시설 관리, 사업 지원 및 임대 서비스업",20
2024-03-01,30110670,동구,홍도동,소매업,108
2024-03-01,30110670,동구,홍도동,수리 및 개인 서비스업,58
2024-03-01,30110670,동구,홍도동,숙박업,0
2024-03-01,30110670,동구,홍도동,"예술, 스포츠 및 여가관련 서비스업",30
2024-03-01,30110670,동구,홍도동,음식점업,186
2024-03-01,30110670,동구,홍도동,"전문, 과학 및 기술 서비스업",33
2024-03-01,30110695,동구,삼성동,교육 서비스업,12
2024-03-01,30110695,동구,삼성동,보건의료업,2
2024-03-01,30110695,동구,삼성동,부동산업,15
2024-03-01,30110695,동구,삼성동,"사업시설 관리, 사업 지원 및 임대 서비스업",47
2024-03-01,30110695,동구,삼성동,소매업,174
2024-03-01,30110695,동구,삼성동,수리 및 개인 서비스업,84
2024-03-01,30110695,동구,삼성동,숙박업,2
2024-03-01,30110695,동구,삼성동,"예술, 스포츠 및 여가관련 서비스업",20
2024-03-01,30110695,동구,삼성동,음식점업,121
2024-03-01,30110695,동구,삼성동,"전문, 과학 및 기술 서비스업",217
2024-03-01,30110725,동구,대청동,교육 서비스업,5
2024-03-01,30110725,동구,대청동,보건의료업,1
2024-03-01,30110725,동구,대청동,부동산업,1
