period,category_code,before_count,after_count,category,difference,difference_pct
2026-06-01,G2,20214,20214,소매업,0,0.00000000
2026-06-01,I1,904,904,숙박업,0,0.00000000
2026-06-01,I2,23850,23850,음식점업,0,0.00000000
2026-06-01,L1,2803,2803,부동산업,0,0.00000000
2026-06-01,M1,7405,7405,"전문, 과학 및 기술 서비스업",0,0.00000000
2026-06-01,N1,3507,3507,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0.00000000
2026-06-01,P1,5399,5399,교육 서비스업,0,0.00000000
2026-06-01,Q1,1944,1944,보건의료업,0,0.00000000
2026-06-01,R1,3689,3689,"예술, 스포츠 및 여가관련 서비스업",0,0.00000000
2026-06-01,S2,10989,10989,수리 및 개인 서비스업,0,0.00000000
