district,category,start,end,change,growth_pct
대덕구,교육 서비스업,290,318,28,9.6551724137931
대덕구,보건의료업,60,61,1,1.6666666666666607
대덕구,부동산업,201,217,16,7.9601990049751326
대덕구,"사업시설 관리, 사업 지원 및 임대 서비스업",351,379,28,7.9772079772079785
대덕구,소매업,2187,2225,38,1.7375400091449444
대덕구,수리 및 개인 서비스업,1291,1364,73,5.6545313710302025
대덕구,숙박업,83,87,4,4.819277108433728
대덕구,"예술, 스포츠 및 여가관련 서비스업",473,477,4,0.8456659619450413
대덕구,음식점업,2736,2745,9,0.328947368421062
대덕구,"전문, 과학 및 기술 서비스업",585,630,45,7.692307692307687
동구,교육 서비스업,598,614,16,2.6755852842809347
동구,보건의료업,357,354,-3,-0.8403361344537785
동구,부동산업,361,383,22,6.094182825484773
동구,"사업시설 관리, 사업 지원 및 임대 서비스업",429,500,71,16.550116550116556
동구,소매업,3385,3416,31,0.9158050221565794
동구,수리 및 개인 서비스업,1475,1577,102,6.915254237288138
동구,숙박업,173,195,22,12.71676300578035
동구,"예술, 스포츠 및 여가관련 서비스업",472,472,0,0.0
동구,음식점업,3422,3410,-12,-0.3506721215663311
동구,"전문, 과학 및 기술 서비스업",876,903,27,3.082191780821919
서구,교육 서비스업,2353,2367,14,0.5949851253718608
서구,보건의료업,941,949,8,0.8501594048884176
서구,부동산업,938,1016,78,8.315565031982942
서구,"사업시설 관리, 사업 지원 및 임대 서비스업",1137,1276,139,12.225153913808274
서구,소매업,6068,6252,184,3.0323005932761937
서구,수리 및 개인 서비스업,3553,3859,306,8.61244019138756
서구,숙박업,152,219,67,44.07894736842106
서구,"예술, 스포츠 및 여가관련 서비스업",1238,1309,71,5.73505654281099
서구,음식점업,7336,7416,80,1.0905125408942284
서구,"전문, 과학 및 기술 서비스업",2870,3090,220,7.66550522648084
유성구,교육 서비스업,1210,1270,60,4.958677685950419
유성구,보건의료업,214,222,8,3.738317757009346
유성구,부동산업,710,830,120,16.901408450704224
유성구,"사업시설 관리, 사업 지원 및 임대 서비스업",688,749,61,8.866279069767447
유성구,소매업,4423,4477,54,1.2208907981008377
유성구,수리 및 개인 서비스업,2271,2427,156,6.869220607661819
유성구,숙박업,135,148,13,9.629629629629633
유성구,"예술, 스포츠 및 여가관련 서비스업",864,859,-5,-0.578703703703709
유성구,음식점업,6316,6292,-24,-0.37998733375553817
유성구,"전문, 과학 및 기술 서비스업",1648,1867,219,13.28883495145632
중구,교육 서비스업,823,830,7,0.8505467800729027
중구,보건의료업,365,358,-7,-1.9178082191780854
중구,부동산업,337,357,20,5.934718100890213
중구,"사업시설 관리, 사업 지원 및 임대 서비스업",598,603,5,0.8361204013378032
중구,소매업,3790,3844,54,1.4248021108179465
중구,수리 및 개인 서비스업,1674,1762,88,5.256869772998796
중구,숙박업,180,255,75,41.66666666666667
중구,"예술, 스포츠 및 여가관련 서비스업",556,572,16,2.877697841726623
중구,음식점업,3851,3987,136,3.5315502466891635
중구,"전문, 과학 및 기술 서비스업",860,915,55,6.3953488372092915
