period,column,missing_count,missing_pct
2024-03-01,상가업소번호,0,0.00000000
2024-03-01,상호명,0,0.00000000
2024-03-01,지점명,69873,96.95561075
2024-03-01,상권업종대분류코드,0,0.00000000
2024-03-01,상권업종대분류명,0,0.00000000
2024-03-01,상권업종중분류코드,0,0.00000000
2024-03-01,상권업종중분류명,0,0.00000000
2024-03-01,상권업종소분류코드,0,0.00000000
2024-03-01,상권업종소분류명,0,0.00000000
2024-03-01,표준산업분류코드,16,0.02220156
2024-03-01,표준산업분류명,16,0.02220156
2024-03-01,시도코드,0,0.00000000
2024-03-01,시도명,0,0.00000000
2024-03-01,시군구코드,0,0.00000000
2024-03-01,시군구명,0,0.00000000
2024-03-01,행정동코드,0,0.00000000
2024-03-01,행정동명,0,0.00000000
2024-03-01,법정동코드,0,0.00000000
2024-03-01,법정동명,0,0.00000000
2024-03-01,지번코드,0,0.00000000
2024-03-01,대지구분코드,0,0.00000000
2024-03-01,대지구분명,0,0.00000000
2024-03-01,지번본번지,0,0.00000000
2024-03-01,지번부번지,20065,27.84214689
2024-03-01,지번주소,0,0.00000000
2024-03-01,도로명코드,15,0.02081396
2024-03-01,도로명,0,0.00000000
2024-03-01,건물본번지,15,0.02081396
2024-03-01,건물부번지,60769,84.32292173
2024-03-01,건물관리번호,4,0.00555039
2024-03-01,건물명,54010,74.94414919
2024-03-01,도로명주소,0,0.00000000
2024-03-01,구우편번호,0,0.00000000
2024-03-01,신우편번호,0,0.00000000
2024-03-01,동정보,72067,100.00000000
2024-03-01,층정보,31294,43.42348093
2024-03-01,호정보,72067,100.00000000
2024-03-01,경도,0,0.00000000
2024-03-01,위도,0,0.00000000
2024-06-01,상가업소번호,0,0.00000000
2024-06-01,상호명,0,0.00000000
2024-06-01,지점명,68477,96.67523153
2024-06-01,상권업종대분류코드,0,0.00000000
2024-06-01,상권업종대분류명,0,0.00000000
2024-06-01,상권업종중분류코드,0,0.00000000
2024-06-01,상권업종중분류명,0,0.00000000
2024-06-01,상권업종소분류코드,0,0.00000000
2024-06-01,상권업종소분류명,0,0.00000000
2024-06-01,표준산업분류코드,15,0.02117687
2024-06-01,표준산업분류명,15,0.02117687
2024-06-01,시도코드,0,0.00000000
2024-06-01,시도명,0,0.00000000
2024-06-01,시군구코드,0,0.00000000
2024-06-01,시군구명,0,0.00000000
2024-06-01,행정동코드,0,0.00000000
2024-06-01,행정동명,0,0.00000000
2024-06-01,법정동코드,0,0.00000000
2024-06-01,법정동명,0,0.00000000
2024-06-01,지번코드,0,0.00000000
2024-06-01,대지구분코드,0,0.00000000
2024-06-01,대지구분명,0,0.00000000
2024-06-01,지번본번지,0,0.00000000
2024-06-01,지번부번지,19714,27.83205331
2024-06-01,지번주소,0,0.00000000
2024-06-01,도로명코드,15,0.02117687
2024-06-01,도로명,0,0.00000000
2024-06-01,건물본번지,15,0.02117687
2024-06-01,건물부번지,59720,84.31217529
2024-06-01,건물관리번호,4,0.00564717
2024-06-01,건물명,53056,74.90399819
2024-06-01,도로명주소,0,0.00000000
2024-06-01,구우편번호,0,0.00000000
2024-06-01,신우편번호,0,0.00000000
2024-06-01,동정보,70832,100.00000000
2024-06-01,층정보,30852,43.55658459
2024-06-01,호정보,70832,100.00000000
2024-06-01,경도,0,0.00000000
2024-06-01,위도,0,0.00000000
2024-09-01,상가업소번호,0,0.00000000
2024-09-01,상호명,0,0.00000000
2024-09-01,지점명,66595,96.70088722
2024-09-01,상권업종대분류코드,0,0.00000000
2024-09-01,상권업종대분류명,0,0.00000000
2024-09-01,상권업종중분류코드,0,0.00000000
2024-09-01,상권업종중분류명,0,0.00000000
2024-09-01,상권업종소분류코드,0,0.00000000
2024-09-01,상권업종소분류명,0,0.00000000
2024-09-01,표준산업분류코드,15,0.02178111
2024-09-01,표준산업분류명,15,0.02178111
2024-09-01,시도코드,0,0.00000000
2024-09-01,시도명,0,0.00000000
2024-09-01,시군구코드,0,0.00000000
2024-09-01,시군구명,0,0.00000000
2024-09-01,행정동코드,0,0.00000000
2024-09-01,행정동명,0,0.00000000
2024-09-01,법정동코드,0,0.00000000
2024-09-01,법정동명,0,0.00000000
2024-09-01,지번코드,0,0.00000000
2024-09-01,대지구분코드,0,0.00000000
2024-09-01,대지구분명,0,0.00000000
2024-09-01,지번본번지,0,0.00000000
2024-09-01,지번부번지,19121,27.76511246
2024-09-01,지번주소,0,0.00000000
2024-09-01,도로명코드,15,0.02178111
2024-09-01,도로명,0,0.00000000
2024-09-01,건물본번지,15,0.02178111
2024-09-01,건물부번지,58094,84.35680369
2024-09-01,건물관리번호,4,0.00580830
2024-09-01,건물명,51636,74.97930794
2024-09-01,도로명주소,0,0.00000000
2024-09-01,구우편번호,0,0.00000000
2024-09-01,신우편번호,0,0.00000000
2024-09-01,동정보,68867,100.00000000
2024-09-01,층정보,30096,43.70162778
2024-09-01,호정보,68867,100.00000000
2024-09-01,경도,0,0.00000000
2024-09-01,위도,0,0.00000000
2024-12-01,상가업소번호,0,0.00000000
2024-12-01,상호명,0,0.00000000
2024-12-01,지점명,69909,86.74757101
2024-12-01,상권업종대분류코드,0,0.00000000
2024-12-01,상권업종대분류명,0,0.00000000
2024-12-01,상권업종중분류코드,0,0.00000000
2024-12-01,상권업종중분류명,0,0.00000000
2024-12-01,상권업종소분류코드,0,0.00000000
2024-12-01,상권업종소분류명,0,0.00000000
2024-12-01,표준산업분류코드,17,0.02109469
2024-12-01,표준산업분류명,17,0.02109469
2024-12-01,시도코드,0,0.00000000
2024-12-01,시도명,0,0.00000000
2024-12-01,시군구코드,0,0.00000000
2024-12-01,시군구명,0,0.00000000
2024-12-01,행정동코드,0,0.00000000
2024-12-01,행정동명,0,0.00000000
