period,category_code,category,store_count,confirmed_count,coverage_status,has_legacy_ancestor,crosswalk_type,mapping_type,mapping_confidence
2024-06-01,P10701,교육컨설팅업,115,115,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10101,종합병원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10102,일반병원,23,23,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10103,치과병원,6,6,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10104,한방병원,14,14,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10105,요양병원,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10201,내과/소아과 의원,65,65,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10202,외과 의원,20,20,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10203,신경/정신과 의원,11,11,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10204,피부/비뇨기과 의원,120,120,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10205,안과 의원,17,17,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10206,이비인후과 의원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10207,산부인과 의원,22,22,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10208,성형외과 의원,41,41,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10209,기타 의원,39,39,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10210,치과의원,156,156,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10211,한의원,78,78,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10212,방사선 진단/병리 검사 의원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10402,유사 의료업,73,73,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,S20902,셀프 빨래방,187,187,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,G20602,주류 소매업,17,17,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,I20202,마라탕/훠궈,115,115,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M10502,옥외/전시 광고 대행업,49,49,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M10503,광고 매체 판매업,21,21,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M10601,시장 조사 및 여론 조사업,42,42,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M10901,건축 설계 및 관련 서비스업,495,495,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M10902,도시 계획 및 조경 설계 서비스업,39,39,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M10903,건물 및 토목 엔지니어링 서비스업,147,147,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M10904,환경 관련 엔지니어링 서비스업,64,64,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M10999,기타 엔지니어링 서비스업,272,272,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M11101,동물병원,103,103,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M11201,인테리어 디자인업,668,668,관측체계 내 확정집계,True,추가,추가,소분류확정
2024-09-01,M11202,제품 디자인업,76,76,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,M11203,시각 디자인업,281,281,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,N10301,조경 유지·관리 서비스업,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,N10501,여행사,288,288,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,N10599,기타 여행 보조/예약 서비스업,24,24,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,N10999,기타 운송장비 대여업,18,18,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,N11101,건설기계/장비 대여업,53,53,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,P10607,청소년 수련시설,11,11,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,P10701,교육컨설팅업,114,114,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10101,종합병원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10102,일반병원,22,22,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10103,치과병원,6,6,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10104,한방병원,14,14,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10105,요양병원,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10201,내과/소아과 의원,64,64,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10202,외과 의원,19,19,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10203,신경/정신과 의원,11,11,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10204,피부/비뇨기과 의원,120,120,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10205,안과 의원,17,17,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10206,이비인후과 의원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10207,산부인과 의원,23,23,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10208,성형외과 의원,40,40,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10209,기타 의원,38,38,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10210,치과의원,155,155,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10211,한의원,77,77,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10212,방사선 진단/병리 검사 의원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,Q10402,유사 의료업,71,71,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-09-01,S20902,셀프 빨래방,185,185,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,G20602,주류 소매업,19,19,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,I20202,마라탕/훠궈,133,133,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M10502,옥외/전시 광고 대행업,49,49,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M10503,광고 매체 판매업,18,18,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M10601,시장 조사 및 여론 조사업,44,44,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M10901,건축 설계 및 관련 서비스업,508,508,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M10902,도시 계획 및 조경 설계 서비스업,45,45,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M10903,건물 및 토목 엔지니어링 서비스업,157,157,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M10904,환경 관련 엔지니어링 서비스업,67,67,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M10999,기타 엔지니어링 서비스업,281,281,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M11101,동물병원,113,113,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M11201,인테리어 디자인업,737,737,관측체계 내 확정집계,True,추가,추가,소분류확정
2024-12-01,M11202,제품 디자인업,94,94,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,M11203,시각 디자인업,305,305,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,N10301,조경 유지·관리 서비스업,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,N10501,여행사,307,307,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,N10599,기타 여행 보조/예약 서비스업,29,29,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,N10999,기타 운송장비 대여업,20,20,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,N11101,건설기계/장비 대여업,62,62,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,P10607,청소년 수련시설,11,11,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,P10701,교육컨설팅업,142,142,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10101,종합병원,11,11,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10102,일반병원,36,36,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10103,치과병원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10104,한방병원,15,15,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10105,요양병원,48,48,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10201,내과/소아과 의원,267,267,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10202,외과 의원,110,110,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10203,신경/정신과 의원,66,66,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-12-01,Q10204,피부/비뇨기과 의원,141,141,관측체계 내 확정집계,False,추가,추가,소분류확정
