period,level,added_pairs,removed_pairs
2024-06-01,대,0,0
2024-06-01,중,0,0
2024-06-01,소,0,0
2024-09-01,대,0,0
2024-09-01,중,0,0
2024-09-01,소,0,0
2024-12-01,대,0,0
2024-12-01,중,0,0
2024-12-01,소,0,0
2025-03-01,대,0,0
2025-03-01,중,0,0
2025-03-01,소,0,0
2025-06-01,대,0,0
2025-06-01,중,0,0
2025-06-01,소,0,0
2025-10-01,대,0,0
2025-10-01,중,0,0
2025-10-01,소,0,0
2025-12-01,대,0,0
2025-12-01,중,0,0
2025-12-01,소,0,0
2026-03-01,대,0,0
2026-03-01,중,0,0
2026-03-01,소,0,0
2026-06-01,대,0,0
2026-06-01,중,0,0
2026-06-01,소,0,0
