name,start,end,change,growth_pct
수리 및 개인 서비스업,10264,10989,725,7.063522992985183
"전문, 과학 및 기술 서비스업",6839,7405,566,8.276063752010533
소매업,19853,20214,361,1.818364982622267
"사업시설 관리, 사업 지원 및 임대 서비스업",3203,3507,304,9.491102091788939
부동산업,2547,2803,256,10.051040439733017
음식점업,23661,23850,189,0.7987828071509995
숙박업,723,904,181,25.03457814661134
교육 서비스업,5274,5399,125,2.3701175578308753
"예술, 스포츠 및 여가관련 서비스업",3603,3689,86,2.3868998057174684
보건의료업,1937,1944,7,0.3613835828600864
