period,store_count,previous_observation_pct,months_since_previous
2024-03-01,72067,,
2024-06-01,70832,-1.71368310,3.00000000
2024-09-01,68867,-2.77416987,3.00000000
2024-12-01,80589,17.02121481,3.00000000
2025-03-01,77904,-3.33172021,3.00000000
2025-06-01,77605,-0.38380571,3.00000000
2025-10-01,78418,1.04761291,4.00000000
2025-12-01,78246,-0.21933740,2.00000000
2026-03-01,78607,0.46136544,3.00000000
2026-06-01,80704,2.66770135,3.00000000
