period,category_code,category,store_count,confirmed_count,coverage_status
2024-03-01,S206,기타 개인 및 가정용품 수리업,497,497,관측체계 내 확정집계
2024-03-01,S207,이용 및 미용업,5401,5401,관측체계 내 확정집계
2024-03-01,S208,"욕탕, 마사지 및 기타 신체 관리 서비스업",326,326,관측체계 내 확정집계
2024-03-01,S209,세탁업,772,772,관측체계 내 확정집계
2024-03-01,S210,장례식장 및 관련 서비스업,142,142,관측체계 내 확정집계
2024-03-01,S211,기타 개인서비스,96,96,관측체계 내 확정집계
2024-06-01,G202,자동차 부품 및 내장품 소매업,299,299,관측체계 내 확정집계
2024-06-01,G203,모터사이클 및 부품 소매업,66,66,관측체계 내 확정집계
2024-06-01,G204,종합 소매업,3163,3163,관측체계 내 확정집계
2024-06-01,G205,식료품 소매업,1930,1930,관측체계 내 확정집계
2024-06-01,G206,음료 소매업,67,67,관측체계 내 확정집계
2024-06-01,G207,담배 소매업,101,101,관측체계 내 확정집계
2024-06-01,G208,가전제품 및 정보 통신장비 소매업,1273,1273,관측체계 내 확정집계
2024-06-01,G209,"섬유, 의복, 신발 및 가죽제품 소매업",4778,4778,관측체계 내 확정집계
2024-06-01,G210,"철물, 공구, 창호 및 건설자재 소매업",672,672,관측체계 내 확정집계
2024-06-01,G211,가구 소매업,309,309,관측체계 내 확정집계
2024-06-01,G212,기타 생활용품 소매업,570,570,관측체계 내 확정집계
2024-06-01,G213,"문화, 오락 및 여가 용품 소매업",933,933,관측체계 내 확정집계
2024-06-01,G214,연료소매업,401,401,관측체계 내 확정집계
2024-06-01,G215,"의약품, 의료용 기구, 화장품 및 방향제 소매업",1899,1899,관측체계 내 확정집계
2024-06-01,G216,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",388,388,관측체계 내 확정집계
2024-06-01,G217,시계 및 귀금속 소매업,331,331,관측체계 내 확정집계
2024-06-01,G218,"예술품, 기념품 및 장식용품 소매업",274,274,관측체계 내 확정집계
2024-06-01,G219,화초 및 식물 소매업,326,326,관측체계 내 확정집계
2024-06-01,G220,애완용 동물 및 관련용품 소매업,311,311,관측체계 내 확정집계
2024-06-01,G221,기타 상품 전문 소매업,257,257,관측체계 내 확정집계
2024-06-01,G222,중고 상품 소매업,368,368,관측체계 내 확정집계
2024-06-01,I101,일반 및 생활 숙박시설 운영업,608,608,관측체계 내 확정집계
2024-06-01,I102,기타 숙박업,48,48,관측체계 내 확정집계
2024-06-01,I201,한식 음식점업,9653,9653,관측체계 내 확정집계
2024-06-01,I202,중식 음식점업,792,792,관측체계 내 확정집계
2024-06-01,I203,일식 음식점업,683,683,관측체계 내 확정집계
2024-06-01,I204,서양식 음식점업,639,639,관측체계 내 확정집계
2024-06-01,I205,동남아시아 음식점업,124,124,관측체계 내 확정집계
2024-06-01,I206,기타 외국식 음식점업,0,0,관측체계 내 확정집계
2024-06-01,I207,구내식당 및 뷔페,211,211,관측체계 내 확정집계
2024-06-01,I210,기타 간이 음식점업,4759,4759,관측체계 내 확정집계
2024-06-01,I211,주점업,2245,2245,관측체계 내 확정집계
2024-06-01,I212,비알코올 음료점업,3767,3767,관측체계 내 확정집계
2024-06-01,L102,부동산관련 서비스업,2487,2487,관측체계 내 확정집계
2024-06-01,M103,법무관련 서비스업,664,664,관측체계 내 확정집계
2024-06-01,M104,회계 및 세무관련 서비스업,337,337,관측체계 내 확정집계
2024-06-01,M105,광고업,972,972,관측체계 내 확정집계
