period,store_count,qoq_pct,yoy_pct
2024-03-01,72067.00000000,,
2024-06-01,70832.00000000,-1.71368310,
2024-09-01,68867.00000000,-2.77416987,
2024-12-01,80589.00000000,17.02121481,
2025-03-01,77904.00000000,-3.33172021,8.09940750
2025-06-01,77605.00000000,-0.38380571,9.56206234
2025-09-01,,,
2025-12-01,78246.00000000,,-2.90734467
2026-03-01,78607.00000000,0.46136544,0.90239269
