category,start_count,end_count,change,growth_pct
교육 서비스업,3200,5399,2199,68.71875000
수리 및 개인 서비스업,9731,10989,1258,12.92775665
보건의료업,756,1944,1188,157.14285714
소매업,19049,20214,1165,6.11580660
"전문, 과학 및 기술 서비스업",6418,7405,987,15.37862262
"사업시설 관리, 사업 지원 및 임대 서비스업",2763,3507,744,26.92725299
음식점업,23464,23850,386,1.64507330
부동산업,2533,2803,270,10.65929728
숙박업,658,904,246,37.38601824
"예술, 스포츠 및 여가관련 서비스업",3495,3689,194,5.55078684
