previous_period,period,category_code,category,before_count,after_count,change,appeared,disappeared,id_net_change,common_reclassified_in,common_reclassified_out,reclassification_net
2025-10-01,2025-12-01,L1,부동산업,2950,2867,-83,2,85,-83,0,0,0
2025-10-01,2025-12-01,M1,"전문, 과학 및 기술 서비스업",6943,6896,-47,61,108,-47,0,0,0
2025-10-01,2025-12-01,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",3247,3186,-61,16,77,-61,0,0,0
2025-10-01,2025-12-01,P1,교육 서비스업,5584,5551,-33,127,160,-33,0,0,0
2025-10-01,2025-12-01,Q1,보건의료업,1955,1958,3,25,22,3,0,0,0
2025-10-01,2025-12-01,R1,"예술, 스포츠 및 여가관련 서비스업",3540,3551,11,156,145,11,0,0,0
2025-10-01,2025-12-01,S2,수리 및 개인 서비스업,10576,10617,41,235,194,41,0,0,0
2025-12-01,2026-03-01,G2,소매업,20099,20184,85,688,603,85,0,0,0
2025-12-01,2026-03-01,I1,숙박업,718,719,1,17,16,1,0,0,0
2025-12-01,2026-03-01,I2,음식점업,22803,23155,352,1415,1063,352,0,0,0
2025-12-01,2026-03-01,L1,부동산업,2867,2797,-70,0,70,-70,0,0,0
2025-12-01,2026-03-01,M1,"전문, 과학 및 기술 서비스업",6896,6842,-54,73,127,-54,0,0,0
2025-12-01,2026-03-01,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",3186,3119,-67,12,79,-67,0,0,0
2025-12-01,2026-03-01,P1,교육 서비스업,5551,5542,-9,178,187,-9,0,0,0
2025-12-01,2026-03-01,Q1,보건의료업,1958,1967,9,32,23,9,0,0,0
2025-12-01,2026-03-01,R1,"예술, 스포츠 및 여가관련 서비스업",3551,3591,40,192,152,40,0,0,0
2025-12-01,2026-03-01,S2,수리 및 개인 서비스업,10617,10691,74,295,221,74,0,0,0
2026-03-01,2026-06-01,G2,소매업,20184,20214,30,2124,2091,33,2,5,-3
2026-03-01,2026-06-01,I1,숙박업,719,904,185,239,54,185,1,1,0
2026-03-01,2026-06-01,I2,음식점업,23155,23850,695,4306,3610,696,3,4,-1
2026-03-01,2026-06-01,L1,부동산업,2797,2803,6,78,71,7,0,1,-1
2026-03-01,2026-06-01,M1,"전문, 과학 및 기술 서비스업",6842,7405,563,886,331,555,9,1,8
2026-03-01,2026-06-01,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",3119,3507,388,494,107,387,3,2,1
2026-03-01,2026-06-01,P1,교육 서비스업,5542,5399,-143,352,494,-142,2,3,-1
2026-03-01,2026-06-01,Q1,보건의료업,1967,1944,-23,49,72,-23,0,0,0
2026-03-01,2026-06-01,R1,"예술, 스포츠 및 여가관련 서비스업",3591,3689,98,640,539,101,0,3,-3
2026-03-01,2026-06-01,S2,수리 및 개인 서비스업,10691,10989,298,1078,780,298,0,0,0
