period,total_stores,cohort_stores,cohort_change,cohort_qoq_pct,survival_pct
2024-03-01,72067,72067,,,100.0
2024-06-01,70832,70832,-1235,-1.71,98.29
2024-09-01,68867,68867,-1965,-2.77,95.56
2024-12-01,80589,70812,1945,2.82,98.26
2025-03-01,77904,66275,-4537,-6.41,91.96
2025-06-01,77605,64013,-2262,-3.41,88.82
2025-10-01,78418,65209,1196,1.87,90.48
2025-12-01,78246,63450,-1759,-2.7,88.04
2026-03-01,78607,61709,-1741,-2.74,85.63
2026-06-01,80704,62131,422,0.68,86.21
