period,dong_code,district,dong,population,age_0_14,age_15_64,age_20_39,age_65_plus,elderly_share_pct,youth_share_pct
2026-03-01,30110695,동구,삼성동,12893,943,7969,2415,3981,30.88,18.73
2026-03-01,30110725,동구,대청동,2086,68,1035,242,983,47.12,11.6
2026-03-01,30110740,동구,산내동,20873,2547,13558,3869,4768,22.84,18.54
2026-03-01,30140535,중구,은행선화동,24072,3545,17146,7447,3381,14.05,30.94
2026-03-01,30140550,중구,목동,17347,2951,12291,3961,2105,12.13,22.83
2026-03-01,30140560,중구,중촌동,14932,1475,9986,3636,3471,23.25,24.35
2026-03-01,30140575,중구,대흥동,12082,918,8634,3822,2530,20.94,31.63
2026-03-01,30140605,중구,문창동,4057,193,2326,640,1538,37.91,15.78
2026-03-01,30140620,중구,석교동,13460,667,7924,2318,4869,36.17,17.22
2026-03-01,30140630,중구,대사동,5166,206,3315,1573,1645,31.84,30.45
2026-03-01,30140640,중구,부사동,5822,309,3478,1028,2035,34.95,17.66
2026-03-01,30140655,중구,용두동,9762,798,6978,3195,1986,20.34,32.73
2026-03-01,30140670,중구,오류동,9742,701,6413,2456,2628,26.98,25.21
2026-03-01,30140680,중구,태평1동,12004,1212,8056,2348,2736,22.79,19.56
2026-03-01,30140690,중구,태평2동,23217,2270,14958,4217,5989,25.8,18.16
2026-03-01,30140700,중구,유천1동,5726,289,3738,1335,1699,29.67,23.31
2026-03-01,30140710,중구,유천2동,12392,860,7601,2684,3931,31.72,21.66
2026-03-01,30140720,중구,문화1동,20041,2236,13442,4188,4363,21.77,20.9
2026-03-01,30140730,중구,문화2동,10964,627,6797,2022,3540,32.29,18.44
2026-03-01,30140740,중구,산성동,24206,1488,15152,4301,7566,31.26,17.77
2026-03-01,30170510,서구,복수동,20740,2438,14579,4556,3723,17.95,21.97
2026-03-01,30170520,서구,도마1동,17913,1516,11857,4948,4540,25.34,27.62
2026-03-01,30170530,서구,도마2동,19192,1689,12437,4644,5066,26.4,24.2
2026-03-01,30170535,서구,정림동,14475,1142,9077,2643,4256,29.4,18.26
2026-03-01,30170540,서구,변동,12149,892,7855,2559,3402,28.0,21.06
2026-03-01,30170550,서구,용문동,19171,2061,13956,6505,3154,16.45,33.93
2026-03-01,30170555,서구,탄방동,31149,3182,23947,10968,4020,12.91,35.21
2026-03-01,30170560,서구,괴정동,18068,1137,14273,7719,2658,14.71,42.72
2026-03-01,30170570,서구,가장동,10313,873,6788,2367,2652,25.72,22.95
2026-03-01,30170575,서구,내동,21507,2058,14550,4732,4899,22.78,22.0
2026-03-01,30170581,서구,갈마1동,20553,1218,15323,7354,4012,19.52,35.78
2026-03-01,30170582,서구,갈마2동,22980,1505,18177,9015,3298,14.35,39.23
2026-03-01,30170586,서구,월평1동,10988,443,8779,4901,1766,16.07,44.6
2026-03-01,30170587,서구,월평2동,13142,1020,8243,2633,3879,29.52,20.04
2026-03-01,30170588,서구,월평3동,19633,2296,13499,4372,3838,19.55,22.27
2026-03-01,30170590,서구,가수원동,9875,723,6324,1985,2828,28.64,20.1
2026-03-01,30170593,서구,도안동,36402,7237,26286,9621,2879,7.91,26.43
2026-03-01,30170596,서구,관저1동,14339,1374,10479,4230,2486,17.34,29.5
2026-03-01,30170597,서구,관저2동,47072,6887,34620,12261,5565,11.82,26.05
2026-03-01,30170600,서구,기성동,3221,106,1623,359,1492,46.32,11.15
2026-03-01,30170630,서구,둔산1동,16243,3080,11111,2464,2052,12.63,15.17
2026-03-01,30170640,서구,둔산2동,34031,4062,25306,10109,4663,13.7,29.71
2026-03-01,30170650,서구,만년동,11901,1025,9231,4203,1645,13.82,35.32
2026-03-01,30170660,서구,둔산3동,18559,2162,12447,3591,3950,21.28,19.35
2026-03-01,30200520,유성구,진잠동,24825,2284,17566,6038,4975,20.04,24.32
2026-03-01,30200526,유성구,학하동,20609,2687,15045,6435,2877,13.96,31.22
2026-03-01,30200527,유성구,상대동,24937,4384,17483,5167,3070,12.31,20.72
2026-03-01,30200530,유성구,온천1동,26687,951,21169,12134,4567,17.11,45.47
2026-03-01,30200540,유성구,온천2동,40717,4047,30631,16096,6039,14.83,39.53
2026-03-01,30200546,유성구,노은1동,20549,2713,15052,5533,2784,13.55,26.93
2026-03-01,30200547,유성구,노은2동,23001,2766,16691,5439,3544,15.41,23.65
2026-03-01,30200548,유성구,노은3동,35391,5738,24754,7739,4899,13.84,21.87
2026-03-01,30200550,유성구,신성동,25502,3382,19333,9404,2787,10.93,36.88
2026-03-01,30200570,유성구,전민동,25289,3301,18666,7682,3322,13.14,30.38
2026-03-01,30200580,유성구,구즉동,32567,4074,24135,10139,4358,13.38,31.13
2026-03-01,30200600,유성구,관평동,37715,6507,28101,10515,3107,8.24,27.88
2026-03-01,30200610,유성구,원신흥동,32273,5339,22655,8679,4279,13.26,26.89
2026-03-01,30230510,대덕구,오정동,13051,644,8649,3234,3758,28.79,24.78
2026-03-01,30230520,대덕구,대화동,5213,258,3361,996,1594,30.58,19.11
2026-03-01,30230525,대덕구,회덕동,12035,852,7707,2512,3476,28.88,20.87
2026-03-01,30230533,대덕구,비래동,14290,899,9599,2907,3792,26.54,20.34
2026-03-01,30230543,대덕구,송촌동,26730,2946,19683,6151,4101,15.34,23.01
2026-03-01,30230546,대덕구,중리동,17541,932,12156,4245,4453,25.39,24.2
2026-03-01,30230550,대덕구,신탄진동,15890,1423,10922,4101,3545,22.31,25.81
2026-03-01,30230560,대덕구,석봉동,15634,2342,10934,3795,2358,15.08,24.27
2026-03-01,30230570,대덕구,덕암동,12275,758,8547,3120,2970,24.2,25.42
2026-03-01,30230580,대덕구,목상동,5779,410,4369,1618,1000,17.3,28.0
2026-03-01,30230600,대덕구,법1동,12040,980,7779,2545,3281,27.25,21.14
2026-03-01,30230610,대덕구,법2동,14312,1047,9267,2737,3998,27.93,19.12
2026-06-01,30110515,동구,중앙동,3218,79,1700,458,1439,44.72,14.23
2026-06-01,30110530,동구,효동,29279,4219,19969,6840,5091,17.39,23.36
2026-06-01,30110545,동구,신인동,14621,1581,9437,3485,3603,24.64,23.84
2026-06-01,30110551,동구,판암1동,11527,823,7094,2314,3610,31.32,20.07
2026-06-01,30110552,동구,판암2동,7567,251,3867,1090,3449,45.58,14.4
2026-06-01,30110560,동구,용운동,20743,1939,14452,5915,4352,20.98,28.52
2026-06-01,30110585,동구,대동,13274,1586,8718,2767,2970,22.37,20.85
2026-06-01,30110590,동구,자양동,10864,380,8064,4047,2420,22.28,37.25
2026-06-01,30110620,동구,가양1동,12660,798,8322,2906,3540,27.96,22.95
2026-06-01,30110630,동구,가양2동,18064,1107,12617,4761,4340,24.03,26.36
2026-06-01,30110640,동구,용전동,19551,1127,14472,6500,3952,20.21,33.25
2026-06-01,30110665,동구,성남동,10244,791,6408,2005,3045,29.72,19.57
2026-06-01,30110670,동구,홍도동,10766,614,7614,3402,2538,23.57,31.6
2026-06-01,30110695,동구,삼성동,12999,953,7993,2423,4053,31.18,18.64
2026-06-01,30110725,동구,대청동,2067,65,1018,239,984,47.61,11.56
2026-06-01,30110740,동구,산내동,20807,2497,13489,3837,4821,23.17,18.44
2026-06-01,30140535,중구,은행선화동,24127,3566,17146,7482,3415,14.15,31.01
2026-06-01,30140550,중구,목동,17246,2901,12204,3924,2141,12.41,22.75
2026-06-01,30140560,중구,중촌동,14885,1458,9915,3609,3512,23.59,24.25
2026-06-01,30140575,중구,대흥동,11997,901,8559,3790,2537,21.15,31.59
2026-06-01,30140605,중구,문창동,4024,185,2306,652,1533,38.1,16.2
2026-06-01,30140620,중구,석교동,13394,640,7806,2257,4948,36.94,16.85
2026-06-01,30140630,중구,대사동,5135,200,3287,1571,1648,32.09,30.59
2026-06-01,30140640,중구,부사동,5800,306,3457,1025,2037,35.12,17.67
2026-06-01,30140655,중구,용두동,9774,798,6974,3207,2002,20.48,32.81
2026-06-01,30140670,중구,오류동,9757,697,6418,2462,2642,27.08,25.23
2026-06-01,30140680,중구,태평1동,11965,1201,8003,2333,2761,23.08,19.5
2026-06-01,30140690,중구,태평2동,23110,2237,14831,4186,6042,26.14,18.11
2026-06-01,30140700,중구,유천1동,5721,288,3716,1326,1717,30.01,23.18
2026-06-01,30140710,중구,유천2동,12302,844,7504,2670,3954,32.14,21.7
2026-06-01,30140720,중구,문화1동,20069,2212,13439,4216,4418,22.01,21.01
2026-06-01,30140730,중구,문화2동,10855,604,6673,1985,3578,32.96,18.29
2026-06-01,30140740,중구,산성동,24112,1452,15005,4278,7655,31.75,17.74
2026-06-01,30170510,서구,복수동,20306,2347,14277,4484,3682,18.13,22.08
2026-06-01,30170520,서구,도마1동,17842,1479,11769,4952,4594,25.75,27.75
2026-06-01,30170530,서구,도마2동,20020,1811,13005,4931,5204,25.99,24.63
2026-06-01,30170535,서구,정림동,15145,1207,9563,2873,4375,28.89,18.97
2026-06-01,30170540,서구,변동,12095,876,7763,2505,3456,28.57,20.71
2026-06-01,30170550,서구,용문동,19204,2080,13932,6434,3192,16.62,33.5
2026-06-01,30170555,서구,탄방동,31199,3179,23920,10976,4100,13.14,35.18
2026-06-01,30170560,서구,괴정동,18138,1128,14280,7745,2730,15.05,42.7
2026-06-01,30170570,서구,가장동,10238,854,6717,2342,2667,26.05,22.88
2026-06-01,30170575,서구,내동,21411,2023,14443,4734,4945,23.1,22.11
2026-06-01,30170581,서구,갈마1동,20566,1223,15265,7375,4078,19.83,35.86
2026-06-01,30170582,서구,갈마2동,22992,1507,18122,9007,3363,14.63,39.17
2026-06-01,30170586,서구,월평1동,11017,436,8761,4917,1820,16.52,44.63
2026-06-01,30170587,서구,월평2동,13158,1001,8213,2607,3944,29.97,19.81
2026-06-01,30170588,서구,월평3동,19545,2273,13373,4373,3899,19.95,22.37
2026-06-01,30170590,서구,가수원동,9837,705,6277,1978,2855,29.02,20.11
2026-06-01,30170593,서구,도안동,36465,7177,26353,9686,2935,8.05,26.56
2026-06-01,30170596,서구,관저1동,14336,1341,10463,4284,2532,17.66,29.88
2026-06-01,30170597,서구,관저2동,46929,6815,34451,12239,5663,12.07,26.08
2026-06-01,30170600,서구,기성동,3192,99,1600,344,1493,46.77,10.78
2026-06-01,30170630,서구,둔산1동,16268,3034,11155,2471,2079,12.78,15.19
2026-06-01,30170640,서구,둔산2동,34065,4037,25267,10164,4761,13.98,29.84
2026-06-01,30170650,서구,만년동,11852,1010,9168,4193,1674,14.12,35.38
2026-06-01,30170660,서구,둔산3동,18539,2120,12417,3606,4002,21.59,19.45
2026-06-01,30200520,유성구,진잠동,24808,2240,17493,6031,5075,20.46,24.31
2026-06-01,30200526,유성구,학하동,21421,2736,15671,6742,3014,14.07,31.47
2026-06-01,30200527,유성구,상대동,25066,4377,17541,5187,3148,12.56,20.69
2026-06-01,30200530,유성구,온천1동,26676,932,21108,12130,4636,17.38,45.47
2026-06-01,30200540,유성구,온천2동,40814,4051,30692,16341,6071,14.87,40.04
2026-06-01,30200546,유성구,노은1동,20564,2711,15046,5576,2807,13.65,27.12
2026-06-01,30200547,유성구,노은2동,22953,2738,16597,5438,3618,15.76,23.69
2026-06-01,30200548,유성구,노은3동,35321,5670,24664,7706,4987,14.12,21.82
2026-06-01,30200550,유성구,신성동,25320,3330,19161,9328,2829,11.17,36.84
2026-06-01,30200570,유성구,전민동,25343,3309,18626,7702,3408,13.45,30.39
2026-06-01,30200580,유성구,구즉동,32500,4042,24024,10068,4434,13.64,30.98
2026-06-01,30200600,유성구,관평동,37759,6482,28095,10497,3182,8.43,27.8
2026-06-01,30200610,유성구,원신흥동,32559,5400,22802,8760,4357,13.38,26.91
2026-06-01,30230510,대덕구,오정동,13000,626,8572,3252,3802,29.25,25.02
2026-06-01,30230520,대덕구,대화동,5206,255,3335,990,1616,31.04,19.02
2026-06-01,30230525,대덕구,회덕동,11989,845,7629,2502,3515,29.32,20.87
2026-06-01,30230533,대덕구,비래동,14192,864,9470,2861,3858,27.18,20.16
2026-06-01,30230543,대덕구,송촌동,26650,2891,19542,6087,4217,15.82,22.84
2026-06-01,30230546,대덕구,중리동,17394,901,11982,4182,4511,25.93,24.04
2026-06-01,30230550,대덕구,신탄진동,15844,1404,10817,4061,3623,22.87,25.63
2026-06-01,30230560,대덕구,석봉동,15622,2323,10892,3741,2407,15.41,23.95
2026-06-01,30230570,대덕구,덕암동,12203,735,8459,3087,3009,24.66,25.3
2026-06-01,30230580,대덕구,목상동,5751,404,4330,1596,1017,17.68,27.75
2026-06-01,30230600,대덕구,법1동,12018,980,7738,2534,3300,27.46,21.09
2026-06-01,30230610,대덕구,법2동,14178,1038,9074,2669,4066,28.68,18.82
